generation,best_TOTFIT,gen_best_TOTFIT,d0p,d1p,d2p,dunp,ATT,F1,F2,F3
72,11.128278302153596,11.128278302153596,9.18494742581706,50.01388984380854,6.608423169821834,34.192739560552546,16.892409832557597,4.749454310455372,2.0482284651529596,4.330595526545265
73,11.130842423787524,11.130842423787524,9.266830444534415,49.88490435075788,6.6566535331030465,34.19161167160467,16.89345742174993,4.75018724922441,2.049911200182235,4.330743974380878
74,11.132240237551336,11.132240237551336,9.1880862917992,50.0858202625339,6.533353885114335,34.192739560552546,16.88812361464924,4.752254145614945,2.0493905653911275,4.330595526545265
75,11.144269818018666,11.144269818018666,9.30943577887977,49.98965100071678,6.509301548798795,34.19161167160467,16.879033229381577,4.760292319841339,2.053233523796449,4.330743974380878
76,11.144269818018666,11.144269818018666,9.30943577887977,49.98965100071678,6.509301548798795,34.19161167160467,16.879033229381577,4.760292319841339,2.053233523796449,4.330743974380878
77,11.14592758216854,11.14592758216854,9.29709836097806,50.046330551037066,6.464544077177632,34.192027010807216,16.875409266864,4.761729721462725,2.053508551759486,4.330689308946328
78,11.14885349984294,11.14885349984294,9.296304806838819,50.08115248797886,6.429803144629736,34.192739560552546,16.872130236299792,4.76429615404135,2.0539618192563247,4.330595526545265
79,11.151689948635013,11.151689948635013,9.323938395163388,50.092043766090036,6.391990827939346,34.192027010807216,16.869642124922827,4.765688754820501,2.0553118848681855,4.330689308946328
80,11.15551065022993,11.15551065022993,9.315294338642682,50.135658228915645,6.356307871889097,34.192739560552546,16.864935283832757,4.769360813909078,2.0555543097755873,4.330595526545265
81,11.15551065022993,11.15551065022993,9.315294338642682,50.135658228915645,6.356307871889097,34.192739560552546,16.864935283832757,4.769360813909078,2.0555543097755873,4.330595526545265
82,11.158584894529096,11.158584894529096,9.30961167367991,50.20911213304099,6.288112733359583,34.19316345991952,16.861488949198797,4.771691106342492,2.056354052773732,4.330539735412872
83,11.160416930937087,11.160416930937087,9.307674994142518,50.19171069978905,6.308587295261235,34.192027010807216,16.857828991787944,4.773688926684911,2.0560386953058485,4.330689308946328
84,11.168003439743874,11.168003439743874,9.411711156219484,50.24124351967462,6.154305763553351,34.192739560552546,16.856672108167523,4.776213092801745,2.0611948203968646,4.330595526545265
85,11.168435243509983,11.168435243509983,9.416253143260844,50.29050642331786,6.100500872868735,34.192739560552546,16.858559780518842,4.775746484214034,2.062093232750683,4.330595526545265
86,11.178866535703692,11.178866535703692,9.451509935364571,50.30205030523746,6.054828087793307,34.19161167160467,16.844773412108527,4.7843372978981495,2.0637852634246645,4.330743974380878
87,11.178866535703692,11.178866535703692,9.451509935364571,50.30205030523746,6.054828087793307,34.19161167160467,16.844773412108527,4.7843372978981495,2.0637852634246645,4.330743974380878
88,11.181223556808632,11.181223556808632,9.532819221250923,50.19823921576179,6.076914552180064,34.192027010807216,16.845360844535325,4.784753249737915,2.0657809981243904,4.330689308946328
89,11.183982394865135,11.183982394865135,9.462174711129316,50.34958263431064,5.996630982955386,34.19161167160467,16.839396457828926,4.788317061968629,2.064921358515628,4.330743974380878
90,11.186820249884452,11.186820249884452,9.580307196442432,50.14690921410849,6.0807565786418625,34.192027010807216,16.839121896796748,4.789048029614859,2.0670829113232654,4.330689308946328
91,11.188182163782777,11.188182163782777,9.447443874422792,50.35208339806715,6.008861055905404,34.19161167160467,16.830553687922052,4.793112427262886,2.0643257621390125,4.330743974380878
92,11.191835520220469,11.191835520220469,9.570724206594901,50.23611554375107,6.001133238846814,34.192027010807216,16.832843824583012,4.79319962337802,2.067946587896122,4.330689308946328
93,11.192572460105337,11.192572460105337,9.52594784365805,50.353373348550704,5.929779685931912,34.19089912185933,16.831567766801758,4.794015876606534,2.0677188251095076,4.330837758389295
94,11.213012061319654,11.213012061319654,9.703279743872402,50.355249038650406,5.749444206669964,34.192027010807216,16.814047603131915,4.806993305809606,2.0753294465637198,4.330689308946328
95,11.213012061319654,11.213012061319654,9.703279743872402,50.355249038650406,5.749444206669964,34.192027010807216,16.814047603131915,4.806993305809606,2.0753294465637198,4.330689308946328
96,11.216744481324783,11.216744481324783,9.671622994245817,50.35093488609005,5.7865429978048155,34.19089912185933,16.80456033237302,4.811979512264514,2.073927210670974,4.330837758389295
97,11.223074919364816,11.223074919364816,9.73320014492657,50.46690928428359,5.608991448930524,34.19089912185933,16.80362100368999,4.814014152444035,2.0782230085314852,4.330837758389295
98,11.224894517539598,11.224894517539598,9.72080322986106,50.51368023916717,5.57461740911243,34.19089912185933,16.80091979342996,4.815696890480431,2.0783598686698714,4.330837758389295
99,11.226891444956806,11.226891444956806,9.755475898675884,50.46888671542806,5.5847382640367265,34.19089912185933,16.799667780514213,4.816847753858991,2.07920593270852,4.330837758389295
100,11.232349668649308,11.232349668649308,9.78248124646169,50.56188712134313,5.464732510335859,34.19089912185933,16.795819399773745,4.819820028276172,2.0816918819838413,4.330837758389295
101,11.232349668649308,11.232349668649308,9.78248124646169,50.56188712134313,5.464732510335859,34.19089912185933,16.795819399773745,4.819820028276172,2.0816918819838413,4.330837758389295
102,11.237148249549861,11.237148249549861,9.81516281766764,50.58553613584351,5.40840192462953,34.19089912185933,16.79212694671583,4.822880127346465,2.0834303638141014,4.330837758389295
103,11.237688465211773,11.237688465211773,9.82372014874203,50.535911049891766,5.449469679506866,34.19089912185933,16.791105677501722,4.823762530047357,2.0830881767751217,4.330837758389295
104,11.237732885857264,11.237732885857264,9.810246744081578,50.59392673518192,5.404214849131833,34.19161167160467,16.791318215490318,4.8236595501075,2.0833293613688855,4.330743974380878
105,11.24090364930741,11.24090364930741,9.837674714842969,50.56723212472304,5.40419403857467,34.19089912185933,16.78827530438607,4.825932217383935,2.0841336735341804,4.330837758389295
106,11.24148744169079,11.24148744169079,9.826647255680745,50.63260513936703,5.349848483092931,34.19089912185933,16.787397243694855,4.82605471495078,2.0845949683507135,4.330837758389295
107,11.246388189387183,11.246388189387183,9.827674971687829,50.65134595304649,5.329367403660994,34.19161167160467,16.781215704660983,4.83074765505623,2.0848965599500753,4.330743974380878
108,11.246388189387183,11.246388189387183,9.827674971687829,50.65134595304649,5.329367403660994,34.19161167160467,16.781215704660983,4.83074765505623,2.0848965599500753,4.330743974380878
109,11.249713025361476,11.249713025361476,9.846925115498145,50.61285551978606,5.348607693111107,34.19161167160467,16.776561773905087,4.833797348199516,2.085171702781083,4.330743974380878
110,11.255257739178296,11.255257739178296,9.869971450272965,50.62445459092226,5.314674836945442,34.19089912185933,16.770996284848405,4.838084697647832,2.086335283141169,4.330837758389295
111,11.255257739178296,11.255257739178296,9.869971450272965,50.62445459092226,5.314674836945442,34.19089912185933,16.770996284848405,4.838084697647832,2.086335283141169,4.330837758389295
112,11.257170170930632,11.257170170930632,9.879066684541586,50.63879678088215,5.291237412716956,34.19089912185933,16.769282175597468,4.8394024452178,2.0869299673235373,4.330837758389295
113,11.257333339010081,11.257333339010081,9.900352617174685,50.58950501351378,5.319243247452196,34.19089912185933,16.769852465561044,4.839357527146809,2.0871380534739785,4.330837758389295
114,11.25976251117071,11.25976251117071,9.892489285857428,50.64876921654238,5.267842375740872,34.19089912185933,16.766823271443698,4.841277067749195,2.0876476850322194,4.330837758389295
115,11.260261370774087,11.260261370774087,9.88573685694798,50.66754251769967,5.255821503493029,34.19089912185933,16.765758262797352,4.841797127146444,2.087626485238347,4.330837758389295
116,11.261484519822275,11.261484519822275,9.89397435928464,50.67237769316863,5.2427488256874195,34.19089912185933,16.76519090484185,4.842598166444934,2.088048594988046,4.330837758389295
117,11.261484519822275,11.261484519822275,9.89397435928464,50.67237769316863,5.2427488256874195,34.19089912185933,16.76519090484185,4.842598166444934,2.088048594988046,4.330837758389295
118,11.2641923415127,11.2641923415127,9.922161235976674,50.650465595172825,5.236474046991222,34.19089912185933,16.762824270327673,4.844411009105641,2.088943574017765,4.330837758389295
119,11.2641923415127,11.2641923415127,9.922161235976674,50.650465595172825,5.236474046991222,34.19089912185933,16.762824270327673,4.844411009105641,2.088943574017765,4.330837758389295
120,11.266472384488292,11.266472384488292,9.918056254046197,50.7052015853092,5.1858430387852685,34.19089912185933,16.760539237797516,4.846085037162019,2.089549588936978,4.330837758389295
121,11.266472384488292,11.266472384488292,9.918056254046197,50.7052015853092,5.1858430387852685,34.19089912185933,16.760539237797516,4.846085037162019,2.089549588936978,4.330837758389295
122,11.270137343861176,11.270137343861176,9.921383017251554,50.706571397910515,5.181146462978626,34.19089912185933,16.754100341889917,4.849587852217511,2.0897117332543695,4.330837758389295
123,11.271951607295318,11.271951607295318,9.953337325318648,50.6471558128782,5.2086077399438215,34.19089912185933,16.75370689905685,4.850881439377812,2.0902324095282117,4.330837758389295
124,11.271951607295318,11.271951607295318,9.953337325318648,50.6471558128782,5.2086077399438215,34.19089912185933,16.75370689905685,4.850881439377812,2.0902324095282117,4.330837758389295
